_id,date,agegrp,covid_deaths
613,2020-08-21T00:00:00,80+,3
614,2020-08-22T00:00:00,40-49,2
615,2020-08-22T00:00:00,50-59,1
616,2020-08-22T00:00:00,60-69,2
617,2020-08-22T00:00:00,70-79,1
618,2020-08-22T00:00:00,80+,9
619,2020-08-23T00:00:00,50-59,1
620,2020-08-23T00:00:00,70-79,4
621,2020-08-23T00:00:00,80+,7
622,2020-08-24T00:00:00,50-59,1
623,2020-08-24T00:00:00,60-69,4
624,2020-08-24T00:00:00,70-79,5
625,2020-08-24T00:00:00,80+,4
626,2020-08-25T00:00:00,50-59,3
627,2020-08-25T00:00:00,60-69,1
628,2020-08-25T00:00:00,70-79,4
629,2020-08-25T00:00:00,80+,3
630,2020-08-26T00:00:00,70-79,2
631,2020-08-26T00:00:00,80+,2
632,2020-08-27T00:00:00,50-59,1
633,2020-08-27T00:00:00,60-69,1
634,2020-08-27T00:00:00,70-79,6
635,2020-08-27T00:00:00,80+,8
636,2020-08-28T00:00:00,50-59,1
637,2020-08-28T00:00:00,60-69,1
638,2020-08-28T00:00:00,70-79,2
639,2020-08-28T00:00:00,80+,5
640,2020-08-29T00:00:00,50-59,1
641,2020-08-29T00:00:00,60-69,4
642,2020-08-29T00:00:00,70-79,3
643,2020-08-29T00:00:00,80+,4
644,2020-08-30T00:00:00,60-69,4
645,2020-08-30T00:00:00,70-79,1
646,2020-08-30T00:00:00,80+,4
647,2020-08-31T00:00:00,30-39,1
648,2020-08-31T00:00:00,40-49,2
649,2020-08-31T00:00:00,60-69,2
650,2020-08-31T00:00:00,70-79,5
651,2020-08-31T00:00:00,80+,3
652,2020-09-01T00:00:00,40-49,1
653,2020-09-01T00:00:00,70-79,4
654,2020-09-01T00:00:00,80+,2
655,2020-09-02T00:00:00,50-59,1
656,2020-09-02T00:00:00,60-69,2
657,2020-09-02T00:00:00,70-79,4
658,2020-09-02T00:00:00,80+,3
659,2020-09-03T00:00:00,60-69,1
660,2020-09-03T00:00:00,70-79,1
661,2020-09-03T00:00:00,80+,4
662,2020-09-04T00:00:00,60-69,1
663,2020-09-04T00:00:00,70-79,2
664,2020-09-04T00:00:00,80+,11
665,2020-09-05T00:00:00,60-69,1
666,2020-09-05T00:00:00,70-79,3
667,2020-09-05T00:00:00,80+,7
668,2020-09-06T00:00:00,40-49,1
669,2020-09-06T00:00:00,50-59,1
670,2020-09-06T00:00:00,60-69,2
671,2020-09-06T00:00:00,70-79,2
