Year,Sex,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
2020.0,Female,45-54 years,501.0,486.0,11.0
2020.0,Female,50-64 years,1609.0,1699.0,29.0
2020.0,Female,55-64 years,1283.0,1385.0,20.0
2020.0,Female,65-74 years,2259.0,2233.0,22.0
2020.0,Female,75-84 years,2934.0,2606.0,32.0
2020.0,Female,85 years and over,3877.0,2797.0,40.0
2020.0,All Sexes,35-44 years,167.0,105.0,0.0
2020.0,All Sexes,50-64 years,1378.0,1117.0,21.0
2020.0,All Sexes,55-64 years,1108.0,909.0,16.0
2020.0,All Sexes,65-74 years,1866.0,1591.0,32.0
2020.0,All Sexes,75-84 years,2552.0,2021.0,34.0
2020.0,All Sexes,85 years and over,3420.0,2539.0,60.0
2020.0,Male,25-34 years,27.0,23.0,0.0
2020.0,Male,35-44 years,104.0,67.0,0.0
2020.0,Male,50-64 years,873.0,678.0,10.0
2020.0,Male,65-74 years,1101.0,939.0,15.0
2020.0,Male,75-84 years,1471.0,1159.0,18.0
2020.0,Male,85 years and over,1499.0,1199.0,15.0
2020.0,Female,35-44 years,63.0,38.0,0.0
2020.0,Female,50-64 years,505.0,439.0,11.0
2020.0,Female,65-74 years,765.0,652.0,17.0
2020.0,Female,75-84 years,1081.0,862.0,16.0
2020.0,Female,85 years and over,1921.0,1340.0,45.0
2020.0,All Sexes,15-24 years,27.0,18.0,0.0
2020.0,All Sexes,50-64 years,1494.0,1223.0,25.0
2020.0,All Sexes,55-64 years,1192.0,984.0,24.0
2020.0,All Sexes,65-74 years,1921.0,1671.0,33.0
2020.0,All Sexes,75-84 years,2323.0,1974.0,51.0
2020.0,All Sexes,85 years and over,2669.0,2084.0,48.0
2020.0,Male,50-64 years,906.0,704.0,13.0
2020.0,Male,55-64 years,716.0,565.0,13.0
2020.0,Male,65-74 years,1122.0,997.0,16.0
2020.0,Male,75-84 years,1379.0,1140.0,25.0
2020.0,Male,85 years and over,1199.0,988.0,19.0
2020.0,Female,35-44 years,84.0,62.0,0.0
2020.0,Female,50-64 years,588.0,519.0,12.0
2020.0,Female,55-64 years,476.0,419.0,11.0
2020.0,Female,65-74 years,799.0,674.0,17.0
2020.0,Female,75-84 years,944.0,834.0,26.0
2020.0,Female,85 years and over,1470.0,1096.0,29.0
2020.0,All Sexes,45-54 years,1070.0,1070.0,13.0
2020.0,All Sexes,50-64 years,3235.0,3465.0,49.0
2020.0,All Sexes,55-64 years,2537.0,2775.0,42.0
2020.0,All Sexes,65-74 years,4166.0,4596.0,54.0
